"Brightness change"
Argument	"DRINK"	"FREAK"	"ORB"	
-127	1	0.729938	1	
-117	1	0.621731	0.615761	
-107	1	0.812609	0.537188	
-97	1	0.280412	0.912552	
-87	0.402146	1	0.816029	
-77	1	1	0.663442	
-67	0.248789	0.80407	0.40875	
-57	0.436155	0.368542	0.267661	
-47	0.308381	0.570751	0.27082	
-37	0.311743	0.42796	0.0973876	
-27	2.90396e-14	3.66544e-14	6.44268e-14	
-17	1.08762e-13	8.4645e-14	5.55019e-14	
-7	3.38101e-14	1.51244e-13	9.48582e-14	
3	2.37488e-14	9.54153e-14	7.60897e-14	
13	6.82806e-14	5.98073e-14	7.93613e-14	
23	0.00348496	7.04787e-14	8.98878e-14	
33	0.0285945	0.0377462	0.029308	
43	0.167663	0.199791	0.0648507	
53	0.115872	0.0751898	0.0296274	
63	0.0273926	0.220423	0.117785	
73	0.32611	0.234694	0.0899015	
83	0.485485	0.219535	0.259415	
93	1	0.126449	0.374412	
103	1	0.676374	0.479716	
113	1	1	0.817948	
123	1	1	1	
"Gaussian blur"
Argument	"DRINK"	"FREAK"	"ORB"	
1	0.163244	0.323422	0.236836	
2	0.715936	0.777615	0.502712	
3	1	1	0.668886	
4	1	1	0.80524	
5	1	1	1	
6	1	1	1	
7	1	1	0.796456	
8	1	1	1	
9	1	1	1	
"Rotation"
Argument	"DRINK"	"FREAK"	"ORB"	
0	4.90824e-14	8.57489e-14	6.99187e-14	
10	0.980969	0.683668	0.314904	
20	0.963378	1	0.804243	
30	1	0.734561	0.520827	
40	1	1	1	
50	0.386112	1	1	
60	0.550252	0.831616	1	
70	0.27476	1	1	
80	0.742885	1	1	
90	1	1	0.995309	
100	1	0.577427	1	
110	0.509279	1	1	
120	0.913556	0.746846	0.551225	
130	0.764174	0.992039	1	
140	0.694029	1	0.938583	
150	1	1	1	
160	1	0.646975	0.626751	
170	0.754668	1	0.674546	
180	0.389993	0.92158	0.587849	
190	1	1	1	
200	0.519573	1	1	
210	1	0.248927	0.185964	
220	1	0.41072	0.168697	
230	0.778824	0.370623	0.523246	
240	1	0.25297	0.634383	
250	0.742354	0.913207	0.279935	
260	0.528372	0.535697	0.712834	
270	0.558761	0.699751	0.584449	
280	1	1	0.227111	
290	0.819975	0.300477	0.539026	
300	1	1	0.534082	
310	0.395033	1	0.314049	
320	0.884901	0.308087	0.498318	
330	0.727844	0.514994	0.0611014	
340	0.0601556	1	0.26569	
350	0.396368	0.471612	0.790181	
360	5.70128e-14	1.83717e-13	1.67887e-13	
"Scaling"
Argument	"DRINK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	1	1	1	
0.45	1	1	0.310289	
0.55	1	1	0.492377	
0.65	0.625224	1	0.259395	
0.75	0.407533	0.487252	0.488491	
0.85	0.185231	1	0.786902	
0.95	0.26702	0.623988	0.469134	
1.05	0.0557734	0.432761	0.836753	
1.15	0.819695	0.920781	0.767735	
1.25	0.594626	0.477407	0.416542	
1.35	0.658876	0.163	1	
1.45	1	0.973563	0.766828	
1.55	0.913326	0.805152	0.744561	
1.65	0.922729	1	1	
1.75	1	1	1	
1.85	0.75959	1	0.20992	
1.95	1	1	1	

