"Brightness change"
Argument	"DRINK"	"FREAK"	"ORB"	
-127	34.3949	42.0664	30.4	
-117	40.1274	49.8155	37.4	
-107	46.1783	53.5055	40.6	
-97	51.2739	60.5166	45.2	
-87	61.7834	66.7897	54.4	
-77	65.9236	73.8007	60.2	
-67	70.7006	79.3358	68.2	
-57	81.2102	84.8708	76.4	
-47	88.8535	90.7749	85.4	
-37	94.9045	96.679	92.6	
-27	99.0446	99.262	97.6	
-17	98.4076	99.262	97.8	
-7	98.7261	99.631	98.4	
3	99.0446	99.631	98.6	
13	99.0446	99.631	98.8	
23	98.0892	98.893	97.4	
33	93.9491	95.941	94.2	
43	89.3891	92.1053	88.4	
53	83.9344	88.1226	77.6	
63	76.8965	82.1862	67.8	
73	67.2598	70.4167	55	
83	60	63.0435	45.4	
93	48.6381	48.8789	36.4	
103	34.2412	38.7665	28.4	
113	22.6923	28.1938	21.6	
123	16.7939	19.3833	16.4	
"Gaussian blur"
Argument	"DRINK"	"FREAK"	"ORB"	
1	81.7891	83.7638	83.6	
2	74.5223	78.2288	76.6	
3	61.7834	66.5414	63.6	
4	52.7508	53.6965	51.4	
5	39.8058	41.7969	41.6	
6	28.9037	28.6853	30.6	
7	20	25.1012	23	
8	17.5824	16.0714	15.6904	
9	14.8148	16.4773	14.7268	
"Rotation"
Argument	"DRINK"	"FREAK"	"ORB"	
0	99.6815	100	100	
10	68.1529	74.9078	66.6	
20	60.9677	67.4074	61.2	
30	61.465	69.0037	62.6	
40	65.9236	73.8007	64	
50	59.2357	71.9557	61.4	
60	59.5541	72.3247	61.2	
70	57.9618	69.3727	61.6	
80	61.1465	69.0037	60.6	
90	64.0127	74.5387	62.6	
100	57.3248	69.0037	55.8	
110	55.7325	67.5277	58.8	
120	60.9121	71.1111	59	
130	58.9744	67.0412	61.6	
140	57.2347	66.4207	61	
150	54.6926	62.1723	57	
160	59.8039	68.0769	58	
170	63.7821	70.7865	61.2	
180	69.7452	82.6568	65.6	
190	60.1911	72.3247	60.4	
200	54.3131	66.0517	58.8	
210	57.3248	69.0037	58.2	
220	56.6879	69.0037	57.4	
230	59.2357	67.5277	59.6	
240	57.6433	67.8967	58.8	
250	57.3248	67.8967	60.4	
260	55.7325	67.5277	58.6	
270	62.4204	70.4797	63	
280	58.5987	68.6347	62	
290	60.5096	69.0037	62	
300	62.5	68.0608	62.4	
310	63.8978	68.9139	67.2	
320	64.0127	67.8967	65.2	
330	65.2597	69.1729	66.4	
340	69.2053	73.5632	68.8	
350	68.4713	74.5387	66.8	
360	99.6815	100	100	
"Scaling"
Argument	"DRINK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	20.8333	16	8.59031	
0.45	32.381	33.8462	17.6	
0.55	35.7143	38.2353	28.2	
0.65	49.2611	50.3185	37.6	
0.75	54.4681	66.2983	42.4	
0.85	59.8592	72.6872	58.6	
0.95	71.5655	77.4074	66.2	
1.05	69.4268	81.5498	69	
1.15	66.879	77.8598	62.6	
1.25	59.2357	74.5387	61	
1.35	60.1911	71.9557	49	
1.45	59.8726	70.4797	53	
1.55	58.2803	67.5277	45	
1.65	51.9108	63.4686	42.2	
1.75	45.5414	59.0406	41.2	
1.85	44.586	51.6605	35.2	
1.95	42.9936	48.3395	31.6	

