"Brightness change"
Argument	"DRINK"	"FREAK"	"ORB"	
-127	16.9259	67.0175	43.875	
-117	15.3571	61.0148	40.2246	
-107	14.0759	53.0621	35.936	
-97	12.5404	46.6402	32.5885	
-87	11.4124	42.8232	29.4963	
-77	9.53623	37.435	26.5017	
-67	7.66216	30.8698	22.8798	
-57	5.53725	25.4522	18.0419	
-47	3.1362	17.0488	13.1241	
-37	1.21141	9.34351	6.86393	
-27	0.215434	1.1487	2.39754	
-17	0.0647249	0	1.27403	
-7	0.0225806	0	0.835366	
3	0.022508	0	0.64503	
13	0.0707396	0.155556	1.29555	
23	0.314935	1.89925	2.3614	
33	1.57288	8.73462	8.98089	
43	4.03957	17.2612	14.5814	
53	6.76562	26.1348	17.8067	
63	8.96861	32.5813	21.2773	
73	10.8466	40.4438	23.2036	
83	13.1635	48.6414	25.9692	
93	14.552	57.789	30.1374	
103	15.0455	63.7045	33.4648	
113	16.4407	70.0938	38.4074	
123	17.2045	75.8636	41.1463	
"Gaussian blur"
Argument	"DRINK"	"FREAK"	"ORB"	
1	2.86719	10.2159	7.30144	
2	4.29915	13.566	11	
3	6.21134	18.2938	16.1855	
4	7.41718	19.2101	18.5486	
5	7.82114	21.3738	22.5096	
6	8.01149	25.7083	23.6797	
7	8.98333	28.1613	24.4783	
8	11.8333	24.4444	24.7333	
9	10.2188	37.7241	28.8387	
"Rotation"
Argument	"DRINK"	"FREAK"	"ORB"	
0	0	0	0	
10	9.72897	27.3399	23.5075	
20	12.291	30.0989	22.9542	
30	13.0829	33.5455	23.115	
40	13.9662	36.85	23.0812	
50	13.7151	36.4923	23.5472	
60	13.3048	33.9643	23.4935	
70	12.8242	29.5372	23.763	
80	11.4635	29.8663	22.5611	
90	10.1891	23.7525	13.3195	
100	11.3778	28.8342	23.9283	
110	13.0971	30.929	23.5272	
120	14.4385	36.5781	22.9424	
130	14.7989	36.2011	23.4513	
140	15.3539	37.95	24.5082	
150	14.8876	36.5301	23.9754	
160	14.541	34.9096	23.3621	
170	12.3015	29.455	21.9804	
180	6.96347	19.5045	14.3201	
190	12.0212	28.3112	23.2318	
200	14.4235	32.2849	23.415	
210	15.2444	37.0107	23.4708	
220	15.573	37.9572	23.2578	
230	15.4677	36.5191	23.9128	
240	14.7956	33.9511	24.3605	
250	13.7889	30.1957	23.4636	
260	11.5486	29.3661	23.198	
270	10.3622	23.712	14.1397	
280	10.9891	29.6613	24.2806	
290	12.4632	32.5187	23.6323	
300	13.3297	34.0782	23.0481	
310	13.51	35.4402	22.747	
320	13.8458	36.5217	23.5521	
330	13.2537	36.4511	22.4699	
340	12.7177	33.974	23.3256	
350	9.86047	28.2277	23.479	
360	0	0	0	
"Scaling"
Argument	"DRINK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	13.7	64	30.8462	
0.45	14.0294	44.7273	31.3523	
0.55	16	40.8462	27.2979	
0.65	13.68	35.7722	29.2979	
0.75	13.1016	36.7667	32.3066	
0.85	14.2647	28.7515	22.2833	
0.95	8.82143	29.0144	26.7221	
1.05	8.33028	29.8733	24.658	
1.15	13.0762	31.6066	25.8403	
1.25	14.2312	27.203	24.2197	
1.35	11.9894	34.118	28.1061	
1.45	10.2872	27.2513	20.0377	
1.55	12.2623	37.3552	28.28	
1.65	14.5399	33.2267	26.4976	
1.75	14.7273	31.5625	22.1262	
1.85	15.2643	40.8	30.1761	
1.95	13.4593	36.5038	30.1772	

