"Brightness change"
Argument	"DRINK"	"FREAK"	"ORB"	
-127	55.9585	68.2635	53.3333	
-117	62.6866	72.1925	63.8225	
-107	68.7204	76.7196	64.4444	
-97	75.9434	80.3922	71.746	
-87	85.8407	87.4396	80.236	
-77	86.9748	91.7431	85.2691	
-67	94.0678	93.0736	91.1765	
-57	97.3282	97.8723	95.5	
-47	98.5866	99.1936	98.1609	
-37	99.6656	99.6198	99.3562	
-27	100	100	100	
-17	100	100	100	
-7	99.6785	100	100	
3	100	100	100	
13	100	100	100	
23	99.6764	100	99.591	
33	98.6622	99.6169	98.5356	
43	98.5816	98.7903	97.7876	
53	97.7099	98.2906	95.5665	
63	94.8936	98.0676	91.3747	
73	90	93.8889	83.0816	
83	88.8268	86.3095	75.4153	
93	78.125	73.1544	62.3288	
103	53.6585	61.9718	51.6364	
113	37.1069	50	39.1304	
123	29.7297	37.931	33.0645	
"Gaussian blur"
Argument	"DRINK"	"FREAK"	"ORB"	
1	95.5224	97.4249	96.5358	
2	93.6	93.3921	94.802	
3	87.3874	88.9447	85.7143	
4	78.3654	74.1936	76.0355	
5	62.1212	60.452	63.2219	
6	47.8022	43.6364	48.5714	
7	33.1492	37.8049	37.2168	
8	27.7457	25.7143	27.5735	
9	23.1884	24.7863	23.1343	
"Rotation"
Argument	"DRINK"	"FREAK"	"ORB"	
0	100	100	100	
10	91.0638	92.6941	85.6041	
20	85.9091	88.3495	82.0375	
30	87.7273	89.9038	81.5104	
40	90.393	92.5926	85.5615	
50	90.2913	92.8571	82.3056	
60	86.1751	92.0188	81.1671	
70	83.4862	89.5238	80	
80	86.4865	88.2076	79.3194	
90	89.7321	95.7346	80.6701	
100	83.3333	91.2195	75.4054	
110	82.9384	88.835	76.3636	
120	84.6154	92.7536	78.6667	
130	83.2579	87.7451	80.4178	
140	82.0276	88.2353	80.6878	
150	79.717	83.8384	74.8031	
160	83.1818	88.0597	76.5172	
170	85.7759	90.4306	78.0612	
180	86.2205	92.562	77.5414	
190	87.5	88.6878	77.8351	
200	82.1256	85.6459	77.7778	
210	81.0811	88.6256	76.378	
220	83.5681	89.4737	77.3585	
230	85.3211	88.835	78.0105	
240	86.1905	89.3204	77.9841	
250	84.1122	88.0383	81.4016	
260	83.3333	87.9808	77.3087	
270	88.6878	91.3876	80.5627	
280	85.1852	91.6256	82.8877	
290	86.758	89.4737	84.4687	
300	86.0465	86.0577	83.4225	
310	86.5801	90.6404	87.9581	
320	89.3333	90.6404	85.5643	
330	89.3333	92	86.911	
340	93.3036	94.5813	88.4319	
350	91.8803	92.6606	85.641	
360	100	100	100	
"Scaling"
Argument	"DRINK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	22.2222	16	16.0494	
0.45	40.4762	39.2857	32.3529	
0.55	47.1698	52	48.4536	
0.65	66.2252	68.6957	63.0872	
0.75	80	83.3333	71.3805	
0.85	86.2944	90.6593	82.0728	
0.95	94.1176	95.4338	83.7975	
1.05	90.0826	94.4444	88.4615	
1.15	90.5172	95.9091	85.7534	
1.25	88.1517	92.2374	82.4324	
1.35	87.907	92.4171	75.3846	
1.45	85.4545	91.8269	80.5471	
1.55	84.7222	95.3125	71.2025	
1.65	80.2956	88.2051	70.0997	
1.75	75.2632	88.3978	67.541	
1.85	75.6757	80.9249	62.8571	
1.95	71.0526	77.0588	56.2278	

