"Brightness change"
Argument	"DRINK"	"FREAK"	"ORB"	
-127	61.465	61.6236	57	
-117	64.0127	69.0037	58.6	
-107	67.1975	69.7417	63	
-97	67.5159	75.2767	63	
-87	71.9745	76.3838	67.8	
-77	75.7962	80.4428	70.6	
-67	75.1592	85.2399	74.8	
-57	83.4395	86.7159	80	
-47	90.1274	91.5129	87	
-37	95.2229	97.048	93.2	
-27	99.0446	99.262	97.6	
-17	98.4076	99.262	97.8	
-7	99.0446	99.631	98.4	
3	99.0446	99.631	98.6	
13	99.0446	99.631	98.8	
23	98.4076	98.893	97.8	
33	95.2229	96.31	95.6	
43	90.6752	93.2331	90.4	
53	85.9016	89.6552	81.2	
63	81.0345	83.8057	74.2	
73	74.7331	75	66.2	
83	67.5472	73.0435	60.2	
93	62.2568	66.8161	58.4	
103	63.8132	62.5551	55	
113	61.1538	56.3877	55.2	
123	56.4885	51.1013	49.6	
"Gaussian blur"
Argument	"DRINK"	"FREAK"	"ORB"	
1	85.623	85.9779	86.6	
2	79.6178	83.7638	80.8	
3	70.7006	74.812	74.2	
4	67.3139	72.3735	67.6	
5	64.0777	69.1406	65.8	
6	60.4651	65.7371	63	
7	60.3333	66.3968	61.8	
8	63.37	62.5	56.9038	
9	63.8889	66.4773	63.658	
"Rotation"
Argument	"DRINK"	"FREAK"	"ORB"	
0	99.6815	100	100	
10	74.8408	80.8118	77.8	
20	70.9677	76.2963	74.6	
30	70.0637	76.7528	76.8	
40	72.9299	79.7048	74.8	
50	65.6051	77.4908	74.6	
60	69.1083	78.5978	75.4	
70	69.4268	77.4908	77	
80	70.7006	78.2288	76.4	
90	71.3376	77.8598	77.6	
100	68.7898	75.6458	74	
110	67.1975	76.0148	77	
120	71.987	76.6667	75	
130	70.8333	76.4045	76.6	
140	69.7749	75.2767	75.6	
150	68.6084	74.1573	76.2	
160	71.8954	77.3077	75.8	
170	74.359	78.2772	78.4	
180	80.8917	89.2989	84.6	
190	68.7898	81.5498	77.6	
200	66.1342	77.1218	75.6	
210	70.7006	77.8598	76.2	
220	67.8344	77.1218	74.2	
230	69.4268	76.0148	76.4	
240	66.879	76.0148	75.4	
250	68.1529	77.1218	74.2	
260	66.879	76.7528	75.8	
270	70.3822	77.1218	78.2	
280	68.7898	74.9078	74.8	
290	69.7452	77.1218	73.4	
300	72.6351	79.0875	74.8	
310	73.8019	76.03	76.4	
320	71.6561	74.9078	76.2	
330	73.0519	75.188	76.4	
340	74.1722	77.7778	77.8	
350	74.5223	80.4428	78	
360	99.6815	100	100	
"Scaling"
Argument	"DRINK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	93.75	100	53.5242	
0.45	80	86.1538	54.4	
0.55	75.7143	73.5294	58.2	
0.65	74.3842	73.2484	59.6	
0.75	68.0851	79.558	59.4	
0.85	69.3662	80.1762	71.4	
0.95	76.0383	81.1111	79	
1.05	77.0701	86.3469	78	
1.15	73.8854	81.1808	73	
1.25	67.1975	80.8118	74	
1.35	68.4713	77.8598	65	
1.45	70.0637	76.7528	65.8	
1.55	68.7898	70.8487	63.2	
1.65	64.6497	71.9557	60.2	
1.75	60.5096	66.7897	61	
1.85	58.9172	63.8376	56	
1.95	60.5096	62.7306	56.2	

