"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	
-127	0.256273	1	1	
-117	0.460719	0.146516	0.615757	
-107	0.717532	0.413096	0.537187	
-97	0.290094	0.664939	0.91255	
-87	0.219677	0.236725	0.816029	
-77	0.335719	0.339587	0.663441	
-67	0.370107	0.448906	0.40875	
-57	0.184044	0.308693	0.26766	
-47	0.0554142	0.199859	0.270819	
-37	0.0393823	0.0461851	0.0973867	
-27	0.0507584	0.042742	2.27136e-14	
-17	0.000268369	0.000376366	6.08007e-15	
-7	0.000268369	0.000376366	6.66726e-14	
3	0.000268369	0.000376366	1.38963e-13	
13	0.000717859	0.00103612	1.4129e-14	
23	0.00072414	0.000804336	6.21391e-14	
33	0.011666	0.0169245	0.029308	
43	0.00965303	0.0905807	0.0648503	
53	0.0286394	0.0942571	0.0296275	
63	0.056059	0.0375002	0.117785	
73	0.0858387	0.0539569	0.0899019	
83	0.0436923	0.0961173	0.259416	
93	0.222282	0.161641	0.374412	
103	0.3219	0.183358	0.479717	
113	0.461479	0.108754	0.81795	
123	0.256127	0.259624	1	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	
1	0.135737	1	0.236835	
2	1	1	0.502712	
3	0.492237	0.784562	0.668886	
4	1	1	0.805239	
5	1	1	1	
6	1	NULL	1	
7	1	1	0.79646	
8	NULL	NULL	1	
9	NULL	1	1	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	
0	2.34487e-14	1.9016e-14	7.5768e-14	
10	1	0.578935	0.314902	
20	0.744149	1	0.80423	
30	0.445611	0.475398	0.520823	
40	0.340833	0.613379	1	
50	1	1	1	
60	1	1	1	
70	0.708842	1	1	
80	0.235954	0.87733	1	
90	0.613223	0.675289	0.995321	
100	0.537174	0.493603	1	
110	0.537663	0.868845	1	
120	0.596424	0.792823	0.551223	
130	0.652746	0.60437	1	
140	1	0.97602	0.938577	
150	0.949075	1	1	
160	0.335781	0.591477	0.626751	
170	0.739915	0.287293	0.674549	
180	0.31544	0.72357	0.587849	
190	0.320877	0.836276	1	
200	1	1	1	
210	0.754793	0.224533	0.185973	
220	1	0.394661	0.168702	
230	0.498515	0.630249	0.52325	
240	0.489044	0.193933	0.634379	
250	0.414372	0.292702	0.279938	
260	0.447028	0.570781	0.712833	
270	0.373398	0.386747	0.58445	
280	0.841309	0.453203	0.22711	
290	0.138713	0.422281	0.539022	
300	0.100251	0.457097	0.53408	
310	0.373151	0.334025	0.314048	
320	0.121022	0.499366	0.498315	
330	0.607342	0.422995	0.0611014	
340	0.222578	0.0926233	0.265691	
350	0.89807	1	0.790176	
360	1.2142e-13	1.14381e-13	1.56545e-13	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	1	1	1	
0.45	1	1	0.310291	
0.55	0.74516	1	0.492378	
0.65	0.527356	1	0.259396	
0.75	0.386243	1	0.488486	
0.85	0.792308	1	0.786903	
0.95	0.6482	1	0.469135	
1.05	0.59525	0.919778	0.83675	
1.15	0.556848	0.634577	0.767742	
1.25	1	1	0.416549	
1.35	1	1	1	
1.45	1	1	0.766816	
1.55	1	1	0.744576	
1.65	1	1	1	
1.75	1	1	1	
1.85	0.692909	1	0.209965	
1.95	0.864821	1	1	

