"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	
-127	31.8584	29.1667	30.4	
-117	35.4331	37.5	37.4	
-107	43.1507	47.3282	40.6	
-97	42.7835	44.7853	45.2	
-87	47.9452	52.7472	54.4	
-77	49.4297	54.4186	60.2	
-67	57.7465	60.262	68.2	
-57	67.1186	69.9571	76.4	
-47	79.0476	81.3492	85.4	
-37	88.102	89.5683	92.6	
-27	98.6226	98.6348	97.6	
-17	100	100	97.8	
-7	100	100	98.4	
3	100	100	98.6	
13	100	100	98.8	
23	99.1667	99.3127	97.4	
33	97.4719	97.9021	94.2	
43	93.3526	94.9821	88.4	
53	90.1198	91.4815	77.6	
63	84.4037	84.7909	67.8	
73	82.4074	82.8244	55	
83	75.3165	77.9528	45.4	
93	73.2203	77.2152	36.4	
103	63.6986	68.3544	28.4	
113	53.9623	60.9091	21.6	
123	49.1304	52.1277	16.4	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	
1	50.9804	50.2618	83.6	
2	38.5542	43.0894	76.6	
3	22.7642	31.25	63.6	
4	16.6667	20.6897	51.4	
5	13.1579	10	41.6	
6	10.9375	NULL	30.6	
7	9.61539	16	23	
8	NULL	NULL	15.6904	
9	NULL	33.3333	14.7268	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	
0	100	100	100	
10	29.2264	39.1459	66.6	
20	31.7308	33.3333	61.2	
30	28.3077	28.8809	62.6	
40	26.9592	28.6765	64	
50	29.2929	26.6409	61.4	
60	26.6436	29.572	61.2	
70	27.9743	27.8746	61.6	
80	29.6552	28.2051	60.6	
90	33.0189	31.1419	62.6	
100	25.0729	27.2109	55.8	
110	24.7253	28.9116	58.8	
120	24.2254	27.8912	59	
130	27.6657	28.2313	61.6	
140	25	26.8707	61	
150	25	25.1701	57	
160	23.7143	25.8503	58	
170	25.0737	28.5714	61.2	
180	35.1429	39.4558	65.6	
190	27.3256	29.021	60.4	
200	23.2759	24.8299	58.8	
210	25.7862	29.927	58.2	
220	23.4421	25.1701	57.4	
230	22.6866	21.4286	59.6	
240	24.3402	26.5306	58.8	
250	22.6994	21.843	60.4	
260	22.9167	22.449	58.6	
270	37.299	37.0909	63	
280	24.0113	26.8707	62	
290	24.1758	30.9524	62	
300	28.9474	28.5714	62.4	
310	30.2198	32.3129	67.2	
320	29.9451	26.8707	65.2	
330	30.6785	30.9028	66.4	
340	32.1429	35.7143	68.8	
350	29.9419	32.8622	66.8	
360	100	100	100	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	4.41176	7.36842	8.59031	
0.45	8.98876	8.51064	17.6	
0.55	12	15.6863	28.2	
0.65	18.1818	18.1818	37.6	
0.75	24.2647	30.2326	42.4	
0.85	31.8021	34.9776	58.6	
0.95	31.3793	36.4407	66.2	
1.05	25.7576	28.7879	69	
1.15	30.6452	35.0195	62.6	
1.25	26.2069	31.25	61	
1.35	19.8171	24.812	49	
1.45	19.0341	24.0283	53	
1.55	20.0658	24.498	45	
1.65	18.9349	24.9057	42.2	
1.75	15.1899	19.3798	41.2	
1.85	18.9602	22.6415	35.2	
1.95	22.8228	24.7232	31.6	

