"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	
-127	79.5	76.0714	43.875	
-117	71.9778	66.8571	40.2246	
-107	70.4921	66.4355	35.936	
-97	71.2289	58.1781	32.5885	
-87	62.7048	53.7083	29.4963	
-77	57.3615	46.4615	26.5017	
-67	48.9146	40.9855	22.8798	
-57	39.697	32.7607	18.0419	
-47	32.1888	24.9659	13.1241	
-37	17.3859	14.1888	6.86393	
-27	5.17877	4.07958	2.39754	
-17	0.0357143	0.0136054	1.27403	
-7	0.010989	0.0136054	0.835366	
3	0.0192308	0.0170068	0.64503	
13	0.236264	0.411565	1.29555	
23	1.33333	1.05882	2.3614	
33	5.94236	4.775	8.98089	
43	11.2043	10.6151	14.5814	
53	16.4053	16.1498	17.8067	
63	20.4565	20.3587	21.2773	
73	27.4419	26.5853	23.2036	
83	32.7479	31.7929	25.9692	
93	43.5509	40.5137	30.1374	
103	53.0376	47.2716	33.4648	
113	63.5455	56.3209	38.4074	
123	71.7788	59.7143	41.1463	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	
1	45.3308	38.8542	7.30144	
2	42.7969	43.0377	11	
3	43.3214	51.68	16.1855	
4	39.6875	80	18.5486	
5	30.5	82	22.5096	
6	66.7143	NULL	23.6797	
7	82.4	95.75	24.4783	
8	NULL	NULL	24.7333	
9	NULL	87.5	28.8387	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	
0	0	0	0	
10	56.4804	50.0727	23.5075	
20	56.2424	50.9333	22.9542	
30	60.3152	48.5625	23.115	
40	59.3605	56.4103	23.0812	
50	63.8276	55.6087	23.5472	
60	58.974	51.5658	23.4935	
70	61.2184	51.7625	23.763	
80	58.4651	50.1818	22.5611	
90	51.5905	43.8444	13.3195	
100	63.0814	48.575	23.9283	
110	60.7889	52.8941	23.5272	
120	60.2907	51.8537	22.9424	
130	66.3333	58.3494	23.4513	
140	67.3077	55.519	24.5082	
150	60.9885	54.6351	23.9754	
160	63.5301	52.1842	23.3621	
170	60.9647	50.878	21.9804	
180	51.7805	43.0086	14.3201	
190	65.6064	51.9759	23.2318	
200	56.2222	48.6164	23.415	
210	68.4512	55.7195	23.4708	
220	65.3797	57.9189	23.2578	
230	72.5921	61.3492	23.9128	
240	67.9398	52.6154	24.3605	
250	62.2297	51.4062	23.4636	
260	63.5974	50.5455	23.198	
270	54.9914	46.2451	14.1397	
280	65.6941	51.3038	24.2806	
290	61.2159	53.2967	23.6323	
300	63	54.631	23.0481	
310	61.8273	55.6526	22.747	
320	66.2202	54.9114	23.5521	
330	61.6635	53.7416	22.4699	
340	55.9744	47.6476	23.3256	
350	59.1456	48.2903	23.479	
360	0	0	0	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	92.3333	64.1429	30.8462	
0.45	97.625	86.6667	31.3523	
0.55	83	67.5	27.2979	
0.65	83.525	65.2059	29.2979	
0.75	81.8485	66.7385	32.3066	
0.85	73.8667	55.3077	22.2833	
0.95	49.5714	46.6395	26.7221	
1.05	60.0941	49.2895	24.658	
1.15	68	51.7667	25.8403	
1.25	78.4737	61.28	24.2197	
1.35	75.2154	52.5606	28.1061	
1.45	76.3134	63.1176	20.0377	
1.55	70.2295	61.6393	28.28	
1.65	70.2969	57.6667	26.4976	
1.75	76.9375	61.38	22.1262	
1.85	66.0323	51	30.1761	
1.95	64.3289	53.9552	30.1772	

