"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	
-127	37.1134	34.1463	53.3333	
-117	40.1786	46.6667	63.8225	
-107	47.3684	54.386	64.4444	
-97	52.8662	56.5891	71.746	
-87	62.5	64.4295	80.236	
-77	64.6766	70.4819	85.2691	
-67	75.2294	76.6667	91.1765	
-57	83.8983	85.7895	95.5	
-47	93.2584	90.3084	98.1609	
-37	96.2848	96.139	99.3562	
-27	100	100	100	
-17	100	100	100	
-7	100	100	100	
3	100	100	100	
13	100	100	100	
23	99.7207	100	99.591	
33	99.1429	98.9399	98.5356	
43	98.1763	96.7153	97.7876	
53	96.7846	96.1089	95.5665	
63	92.9293	91.7695	91.3747	
73	93.0314	92.3404	83.0816	
83	89.4737	91.2442	75.4153	
93	85.7143	91.0448	62.3288	
103	81.5789	84.8168	51.6364	
113	70.098	81.7073	39.1304	
123	63.4832	72.0588	33.0645	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	
1	64.6766	65.3061	96.5358	
2	45.0704	50	94.802	
3	25.4545	32.8947	85.7143	
4	17.9775	22.2222	76.0355	
5	13.8889	10.4167	63.2219	
6	11.8644	NULL	48.5714	
7	9.61539	16	37.2168	
8	NULL	NULL	27.5735	
9	NULL	33.3333	23.1343	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	
0	100	100	100	
10	46.1538	61.4525	85.6041	
20	46.4789	52.6316	82.0375	
30	45.098	49.6894	81.5104	
40	43.6548	48.4472	85.5615	
50	42.6471	41.3174	82.3056	
60	37.7451	46.6258	81.1671	
70	41.4286	45.977	80	
80	43.8776	45.2941	79.3194	
90	48.3871	51.1364	80.6701	
100	40.1869	43.0108	75.4054	
110	40.9091	47.486	76.3636	
120	38.7387	45.5556	78.6667	
130	45.7143	46.1111	80.4178	
140	40.991	42.9348	80.6878	
150	39.0135	40.6593	74.8031	
160	38.0734	44.9704	76.5172	
170	40.4762	47.3988	78.0612	
180	55.9091	61.3757	77.5414	
190	43.318	45.8564	77.8351	
200	34.9138	41.4773	77.7778	
210	40.5941	49.3976	76.378	
220	37.9808	43.0233	77.3585	
230	35.514	37.5	78.0105	
240	38.4259	45.0867	77.9841	
250	35.4067	39.2638	81.4016	
260	37.561	38.3721	77.3087	
270	56.8627	59.3023	80.5627	
280	40.2844	42.7027	82.8877	
290	40.367	47.8947	84.4687	
300	45.2055	47.7273	83.4225	
310	47.2103	48.7179	87.9581	
320	50.463	42.246	85.5643	
330	47.2727	50.2825	86.911	
340	50.431	53.0303	88.4319	
350	50.2439	50.8197	85.641	
360	100	100	100	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	5.40541	8.97436	16.0494	
0.45	11.7647	11.5385	32.3529	
0.55	16.9014	20	48.4536	
0.65	24.5399	25	63.0872	
0.75	35.2941	43.6242	71.3805	
0.85	47.3684	50.6493	82.0728	
0.95	45.0495	53.4161	83.7975	
1.05	42.7136	46.0606	88.4615	
1.15	47.9798	52.9412	85.7534	
1.25	38.191	47.4684	82.4324	
1.35	32.0197	41.5094	75.3846	
1.45	31.0185	42.5	80.5471	
1.55	30.0493	37.8882	71.2025	
1.65	30.4762	40.9938	70.0997	
1.75	23.7624	31.6456	67.541	
1.85	29.5238	35.9281	62.8571	
1.95	36.1905	38.2857	56.2278	

