"Brightness change"
Argument	"BRISK"	"FREAK"	"ORB"	
-127	85.8407	85.4167	57	
-117	88.189	80.3571	58.6	
-107	91.0959	87.0229	63	
-97	80.9278	79.1411	63	
-87	76.7123	81.8681	67.8	
-77	76.4259	77.2093	70.6	
-67	76.7606	78.6026	74.8	
-57	80	81.5451	80	
-47	84.7619	90.0794	87	
-37	91.5014	93.1655	93.2	
-27	98.6226	98.6348	97.6	
-17	100	100	97.8	
-7	100	100	98.4	
3	100	100	98.6	
13	100	100	98.8	
23	99.4444	99.3127	97.8	
33	98.3146	98.951	95.6	
43	95.0867	98.2079	90.4	
53	93.1138	95.1852	81.2	
63	90.8257	92.3954	74.2	
73	88.5802	89.6947	66.2	
83	84.1772	85.4331	60.2	
93	85.4237	84.8101	58.4	
103	78.0822	80.5907	55	
113	76.9811	74.5455	55.2	
123	77.3913	72.3404	49.6	
"Gaussian blur"
Argument	"BRISK"	"FREAK"	"ORB"	
1	78.8235	76.9634	86.6	
2	85.5422	86.1789	80.8	
3	89.4309	95	74.2	
4	92.7083	93.1034	67.6	
5	94.7368	96	65.8	
6	92.1875	NULL	63	
7	100	100	61.8	
8	NULL	NULL	56.9038	
9	NULL	100	63.658	
"Rotation"
Argument	"BRISK"	"FREAK"	"ORB"	
0	100	100	100	
10	63.3238	63.7011	77.8	
20	68.2692	63.3333	74.6	
30	62.7692	58.1227	76.8	
40	61.7555	59.1912	74.8	
50	68.6869	64.4788	74.6	
60	70.5882	63.4241	75.4	
70	67.5241	60.6272	77	
80	67.5862	62.2711	76.4	
90	68.239	60.8997	77.6	
100	62.3907	63.2653	74	
110	60.4396	60.8844	77	
120	62.5352	61.2245	75	
130	60.5187	61.2245	76.6	
140	60.989	62.585	75.6	
150	64.0805	61.9048	76.2	
160	62.2857	57.483	75.8	
170	61.9469	60.2787	78.4	
180	62.8571	64.2857	84.6	
190	63.0814	63.2867	77.6	
200	66.6667	59.8639	75.6	
210	63.522	60.5839	76.2	
220	61.7211	58.5034	74.2	
230	63.8806	57.1429	76.4	
240	63.3431	58.8435	75.4	
250	64.1104	55.6314	74.2	
260	61.0119	58.5034	75.8	
270	65.5949	62.5455	78.2	
280	59.6045	62.9252	74.8	
290	59.8901	64.6259	73.4	
300	64.0351	59.8639	74.8	
310	64.011	66.3265	76.4	
320	59.3407	63.6054	76.2	
330	64.8968	61.4583	76.4	
340	63.7363	67.3469	77.8	
350	59.593	64.6643	78	
360	100	100	100	
"Scaling"
Argument	"BRISK"	"FREAK"	"ORB"	
0.25	NULL	NULL	NULL	
0.35	81.6176	82.1053	53.5242	
0.45	76.4045	73.7589	54.4	
0.55	71	78.4314	58.2	
0.65	74.0909	72.7273	59.6	
0.75	68.75	69.3023	59.4	
0.85	67.1378	69.0583	71.4	
0.95	69.6552	68.2203	79	
1.05	60.303	62.5	78	
1.15	63.871	66.1479	73	
1.25	68.6207	65.8333	74	
1.35	61.8902	59.7744	65	
1.45	61.3636	56.5371	65.8	
1.55	66.7763	64.6586	63.2	
1.65	62.1302	60.7547	60.2	
1.75	63.924	61.2403	61	
1.85	64.2202	63.0189	56	
1.95	63.0631	64.5756	56.2	

